mobile,provider,extension,from,to,date
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,zain,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/14
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/15
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/15
123456789,mobily,401,08:00 AM,4:00:00PM,2025/01/15
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/15
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/15
123456789,sct,401,08:00 AM,4:00:00PM,2025/01/15
123456789,401,401,08:00 AM,4:00:00PM,2025/01/15
123456789,401,401,08:00 AM,4:00:00PM,2025/01/16
